,control,sporadic_pd,ad_mutant1,ad_mutant2
control,1.0,0.9292397455111273,0.9246247452451318,0.9191183645243759
sporadic_pd,0.9292397455111273,1.0,0.9440246293424124,0.9365059123729177
ad_mutant1,0.9246247452451318,0.9440246293424124,1.0,0.9407340129016365
ad_mutant2,0.9191183645243759,0.9365059123729177,0.9407340129016365,1.0
