ID_REF,control,ad_mutant1,ad_mutant2,log2FC
229552_at,9.28411623697336,2.129000056090279,1.6045818714338276,-7.417325273211306
227062_at,11.0708203142736,5.676401328703622,1.904406021661162,-7.280416639091208
204475_at,0.7598835612654746,11.463685798953948,3.522158723370105,6.733038699896552
221577_x_at,12.032799775490808,5.774311432031053,5.411991653746301,-6.439648232602131
225239_at,13.236275402521544,7.723426271957543,6.159210572398288,-6.294956980343629
243221_at,11.921128411882892,6.265426018783628,5.053976693902816,-6.26142705553967
206762_at,7.369547009192604,1.0347709897007669,1.5635103393428404,-6.0704063446708005
235075_at,7.283924549566958,1.2253227515173837,1.3908633329933868,-5.975831507311573
207302_at,7.32458543471504,1.7538098875067156,1.0391025893521622,-5.928129196285601
207768_at,6.96726972639538,0.7845697046719675,1.3151296461327855,-5.9174200509930035
206552_s_at,12.673779950736133,6.760861845135509,6.79902654473934,-5.893835755798708
220139_at,8.22911729746459,2.3361168255351865,2.4257612937900164,-5.848178237801989
234989_at,12.46839621757996,7.084865669365302,6.393312710712291,-5.7293070275411635
205569_at,9.906566553958713,4.150037254908717,4.295734630695751,-5.683680611156479
1558048_x_at,0.2538696597368893,6.62440470029783,5.095251975856605,5.605958678340328
206864_s_at,10.987887434315512,5.753087659811361,5.249274285871024,-5.48670646147432
1564292_at,7.133506809746042,1.2406947232058751,2.224675636515519,-5.400821629885345
227347_x_at,8.227536623087687,4.3834886496027305,1.288530848382396,-5.391526874095124
210587_at,11.42207465049273,5.882524205519584,6.183426963352485,-5.389099066056696
203815_at,1.0979543733111412,6.5837168120669265,6.20012216001627,5.293965112730456
